,Name,Address,Phone number
0,Hayat Medical Centre Частная Клиника,Ташкент Юнусабадский район Ул. мевазор,71 2008866
1,Akfa Medline Ооо,Ташкент Алмазарский район Ул. кичик халка йули,71 2033003
2,American Hospital Медицинский Центр,Ташкент Юнусабадский район Ул. икбола,71 2090303
3,Davr Med Servis Частная Клиника,Ташкент Чиланзарский район Ул. чупон-ота,71 2778429
4,Detoks Medikal Частная Наркологическая Клиника,Ташкент Юнусабадский район М-в юнусабад-15,71 2201501
5,Gulom Madaminbek Частная Клиника,Ташкент Юнусабадский район М-в юнусабад-15,71 2225246
6,Intermed Innovation Медицинский Центр,Ташкент Юнусабадский район Ул. чинабад,78 1482288
7,Kristall Офтальмологическая Клиника,Ташкент Алмазарский район Ул. зиё,71 2460508
8,Liv Hospital Представительство Турецкой Клиники,Ташкент Юнусабадский район Ул. абдуллы кадыри,97 1301122
9,Nuroniy Городская Клиническая Больница,Ташкент Яшнабадский район Туп. 1-й ошский,71 2915623
10,Prognoz Центр Медицинской Реабилитации Для Детей,Ташкент Мирзо-улугбекский район Просп. мустакиллик,71 2375131
11,Yassi-dono Чп,Ташкент Юнусабадский район М-в юнусабад-14,71 2128748
12,Вторая Клиника Ташкентской Медицинской Академии,Ташкент Алмазарский район Ул. фароби,71 2145000
13,Городская Детская Инфекционная Больница № 4,Ташкент Шайхантахурский район Ул. тахтапул дарвоза,71 2419154
14,Городская Детская Клиническая Больница № 1,Ташкент Юнусабадский район М-в юнусабад-3,71 2248577
15,Городская Детская Клиническая Больница № 2,Ташкент Яшнабадский район М-в авиасозлар-4,71 2961847
16,Городская Детская Клиническая Больница № 3,Ташкент Учтепинский район Ул. бешкайрагач,71 2473019
17,Городская Детская Клиническая Больница № 4,Ташкент Шайхантахурский район М-в богкуча,71 2429404
18,Городская Детская Клиническая Больница № 5,Ташкент Мирзо-улугбекский район Ул. зиёлилар,71 2625920
19,Городская Детская Хирургическая Клиническая Больница № 2,Ташкент Мирзо-улугбекский район Ул. буюк ипак йули,71 2688717
20,Городская Клиническая Больница № 1,Ташкент Шайхантахурский район Ул. кукча дарвоза,71 2493767
21,Городская Клиническая Больница № 3,Ташкент Мирабадский район Ул. абдурауфа фитрата,71 2914336
22,Городская Клиническая Больница № 4,Ташкент Яшнабадский район Ул. бирлашган,71 2961461
23,Городская Клиническая Больница № 5,Ташкент Мирзо-улугбекский район Ул. буюк ипак йули,71 2642043
24,Городская Клиническая Больница № 6,Ташкент Бектемирский район Ул. олтинтопган,71 2927988
25,Городская Клиническая Больница № 7,Ташкент Юнусабадский район Ул. гайрати,71 2249133
26,Городская Клиническая Больница Скорой Медицинской Помощи,Ташкент Учтепинский район Ул. фозилтепа,71 2756713
27,Городская Клиническая Инфекционная Больница № 1,Ташкент Алмазарский район Ул. кичик халка йули,71 2403266
28,Городская Клиническая Инфекционная Больница № 2,Ташкент Яшнабадский район М-в авиасозлар-4,71 2961847
29,Городская Клиническая Инфекционная Больница № 5,Ташкент Чиланзарский район Ул. арпапая,71 2457353
30,Городская Клиническая Инфекционная Больница №3 (лоринго-центр),Ташкент Яккасарайский район Ул. кичик халка йули,71 2509513
31,Городская Клиническая Психиатрическая Больница,Ташкент Мирабадский район Ул. мехржон,71 2911928
32,Городская Клиническая Туберкулезная Больница № 1,Ташкент Алмазарский район Ул. кичик халка йули,71 2481281
33,Детская Железнодорожная Больница Ао Узбекистон Темир Йуллари,Ташкент Мирабадский район Ул. фидойлар,71 2833437
34,Клиника Ташкентского Педиатрического Медицинского Института,Ташкент Юнусабадский район Ул. богишамол,71 2603116
35,Клинический Санаторий Им. М.м. Федоровича,Ташкент Мирабадский район Просп. амира темура,78 1407887
36,Лечебно-оздоровительный Комплекс При Налоговом Комитете Республики Узбекистан,Ташкент Мирзо-улугбекский район Ул. дурмон йули,71 2628001
37,Медико-санитарная Часть Текстильного Комбината,Ташкент Яккасарайский район Ул. шота руставели,71 2532652
38,Медико-санитарная Часть Уп Узэлектросеть Ао Узбекэнерго,Ташкент Мирзо-улугбекский район Ул. ясси,71 2624581
39,Национальный Центр Реабилитации И Протезирования Инвалидов Республики Узбекистан,Ташкент Мирзо-улугбекский район Ул. дархонтепа,71 2354505
40,Национальный Центр Реабилитации И Протезирования Инвалидов Республики Узбекистан Филиал,Ташкент Яшнабадский район Туп. 3-й садыка азимова,71 2334528
41,Нии Вирусологии,Ташкент Юнусабадский район М-в юнусабад-3,71 2311849
42,Нии Гематологии И Переливания Крови,Ташкент Чиланзарский район М-в чиланзар-6,71 2782584
43,"Нии Санитарии, Гигиены И Профессиональных Заболеваний",Ташкент Мирзо-улугбекский район Пр. 5-й олтинтепа,71 2666954
44,Нии Эндокринологии Им. Туракулова,Ташкент Мирзо-улугбекский район Просп. мирзо улугбека,71 2690609
45,"Нии Эпидемиологии, Микробиологии И Инфекционных Заболеваний",Ташкент Учтепинский район Ул. заковат,71 2431822
46,Первая Клиника Ташкентской Медицинской Академии,Ташкент Алмазарский район Ул. шифокор,78 1509501
47,Республиканская Больница Усиленного Наблюдения За Психическими Заболеваниями,Ташкент Алмазарский район Ул. чукурсой,71 2485093
48,Республиканская Детская Психоневрологическая Клиника Им. У.к. Курбанова,Ташкент Мирзо-улугбекский район Ул. олмачи,71 2677350
49,Республиканская Клиническая Больница №1,Ташкент Мирабадский район Ул. садыка азимова,71 2330366
50,Республиканская Клиническая Больница №2,Ташкент Мирзо-улугбекский район Ул. фахри камола,71 2893659
51,Республиканская Клиническая Психиатрическая Больница,Ташкент Сергелийский район М-в дустлик-2,71 2583072
52,Республиканская Кожно-венерологическая Клиническая Больница,Ташкент Мирабадский район Пр. 1-й нукус,71 2997842
53,Республиканская Офтальмологическая Клиника,Ташкент Алмазарский район Ул. зиё,71 2460503
54,Республиканский Аллергологический Центр,Ташкент Алмазарский район Ул. фароби,71 2145503
55,Республиканский Детский Научно-практический Центр Малоинвазивной И Эндоскопической Хирургии,Ташкент Алмазарский район Ул. фароби,78 1509490
56,Республиканский Научный Центр Нейрохирургии,Ташкент Мирзо-улугбекский район М-в хумоюн,71 2649610
57,Республиканский Научный Центр Экстренной Медицинской Помощи,Ташкент Чиланзарский район Ул. кичик халка йули,78 1504464
58,Республиканский Онкологический Центр,Ташкент Шайхантахурский район Ул. фароби,71 2469840
59,Республиканский Специализированный Медицинский Центр Фтизиатрии И Пульмонологии,Ташкент Шайхантахурский район Ул. мажлисий,71 2780470
60,Республиканский Специализированный Научно-практический Медицинский Центр Акушерства И Гинекологии,Ташкент Мирзо-улугбекский район Просп. мирзо улугбека,71 2637821
61,Республиканский Специализированный Научно-практический Медицинский Центр Дерматологии И Косметологии,Ташкент Алмазарский район Ул. фароби,71 2145098
62,Республиканский Специализированный Научно-практический Медицинский Центр Кардиологии,Ташкент Мирзо-улугбекский район Ул. осиё,71 2373157
63,Республиканский Специализированный Научно-практический Медицинский Центр Педиатрии,Ташкент Алмазарский район Ул. хожалик,71 2293919
64,Республиканский Специализированный Научно-практический Медицинский Центр Травматологии И Ортопедии,Ташкент Яшнабадский район Ул. махтумкули,71 2338004
65,Республиканский Специализированный Научно-практический Центр Терапии И Медицинской Реабилитации Гуп,Ташкент Юнусабадский район Ул. осиё,71 2343321
66,Республиканский Специализированный Центр Микрохирургии Глаза,Ташкент Учтепинский район Ул. кичик халка йули,71 2173140
67,Республиканский Специализированный Центр Хирургии Им. Академика В.в. Вахидова,Ташкент Чиланзарский район Ул. кичик халка йули,71 2772765
68,Санавиация Отделение Республиканского Научного Центра Экстренной Медицинской Помощи,Ташкент Чиланзарский район Ул. кичик халка йули,78 1504620
69,Ташкентская Городская Детская Фтизиатрическая Больница,Ташкент Яшнабадский район Ул. джаркурганская,71 2919085
70,Ташкентская Городская Наркологическая Больница Принудительного Лечения,Ташкент Сергелийский район М-в йулдош-7,71 2583611
71,Ташкентская Областная Офтальмологическая Больница,Ташкент Мирзо-улугбекский район Ул. буюк ипак йули,71 2668171
72,Ташкентская Областная Специализированная Соматическая Больница,Ташкент Чиланзарский район М-в чиланзар-5,71 2776558
73,Третья Клиника Ташкентской Медицинской Академии,Ташкент Яшнабадский район Ул. махтумкули,71 2894362
74,Флебосервис Клиника,Ташкент Яккасарайский район Ул. шаршара,71 2553999
75,Центр Нефрологии Г. Ташкента,Ташкент Юнусабадский район Ул. янгишахар,71 2247618
76,Центр Реабилитации Хронических Заболеваний Ооо,Ташкент Алмазарский район М-в каракамыш-2/3,71 2284885
77,Центральная Клиническая Больница № 1 Гму,Ташкент Мирзо-улугбекский район Ул. мохларойим,71 2647963
78,Центральная Клиническая Больница № 2 Гму,Ташкент Мирзо-улугбекский район Ул. ашхабадская,71 2687732
79,Центральная Клиническая Больница Ао Узбекистон Темир Йуллари,Ташкент Яшнабадский район Пр. 2-й тараккиёт,71 2996290
80,Центральный Военный Госпиталь При Министерстве Обороны Республики Узбекистан,Ташкент Мирзо-улугбекский район Ул. зиёлилар,71 2624241
81,Центральный Военный Госпиталь Службы Национальной Безопасности Республики Узбекистан,Ташкент Алмазарский район М-в каракамыш-2/4,71 2278620
82,Центральный Госпиталь Министерства Внутренних Дел Республики Узбекистан,Ташкент Алмазарский район Ул. чимбай,71 2288836
